Date,RELIANCE,TCS,INFY,HDFCBANK,ICICIBANK
2020-01-01,605.5293579101562,519.1378784179688,633.1511840820312,675.32421875,1866.11376953125
2020-01-02,609.3890991210938,522.861572265625,631.3037109375,686.8211669921875,1857.54736328125
2020-01-03,600.6987915039062,521.1689453125,641.013427734375,687.6488647460938,1894.5675048828125
2020-01-06,587.69873046875,508.45050048828125,634.86962890625,671.7007446289062,1894.39453125
2020-01-07,597.0047607421875,505.742431640625,625.4608154296875,682.0346069335938,1899.043701171875
2020-01-08,595.4420166015625,508.6922912597656,617.1257934570312,676.912353515625,1941.572265625
2020-01-09,602.1195678710938,528.3746337890625,625.159912109375,692.5026245117188,1906.361083984375
2020-01-10,607.4710693359375,522.5230712890625,634.2681884765625,692.3460693359375,1905.6728515625
2020-01-13,609.0338745117188,520.9271850585938,664.686279296875,690.5789184570312,1885.6995849609375
2020-01-14,610.6915283203125,519.9600219726562,666.49072265625,684.1818237304688,1899.94775390625
2020-01-15,608.2051391601562,518.025634765625,659.5306396484375,681.6990356445312,1917.166259765625
2020-01-16,609.8153686523438,519.5248413085938,659.05810546875,687.9842529296875,1927.4110107421875
2020-01-17,605.3162231445312,514.5921630859375,659.7883911132812,707.2652587890625,1910.450927734375
2020-01-20,594.3052978515625,517.30029296875,660.303955078125,685.5015869140625,1868.481201171875
2020-01-21,589.3089599609375,513.6248779296875,655.1912841796875,686.1949462890625,1869.0836181640625
2020-01-22,587.6514892578125,505.6940002441406,661.8077392578125,685.9488525390625,1899.94775390625
2020-01-23,589.5457153320312,510.3848876953125,673.9664306640625,683.0410766601562,1890.4996337890625
2020-01-24,589.40380859375,516.3330688476562,672.5914916992188,680.670166015625,1883.984619140625
2020-01-27,574.5567016601562,519.62158203125,668.5958251953125,673.9598388671875,1871.7752685546875
2020-01-28,579.2925415039062,510.8684997558594,668.510009765625,658.3919067382812,1884.2864990234375
2020-01-29,585.2835693359375,509.32098388671875,678.5633544921875,662.0155029296875,1859.1346435546875
2020-01-30,580.642333984375,514.7371826171875,670.8299560546875,645.8660278320312,1844.6807861328125
2020-01-31,580.7608032226562,508.4022521972656,666.7484130859375,631.5060424804688,1793.9443359375
2020-02-03,564.8955688476562,498.6335754394531,659.4016723632812,619.8077392578125,1814.1788330078125
2020-02-04,582.4183349609375,513.3831176757812,676.9737548828125,638.1045532226562,1818.708740234375
2020-02-05,589.4510498046875,521.4107666015625,674.13818359375,647.9909057617188,1852.188232421875
2020-02-06,587.1541137695312,523.8287353515625,662.7958374023438,652.1513671875,1836.48388671875
2020-02-07,588.290771484375,518.8477783203125,667.9085083007812,641.3478393554688,1843.5589599609375
2020-02-10,587.3910522460938,516.4298095703125,664.3854370117188,642.2200317382812,1865.47607421875
2020-02-11,587.5330810546875,522.0394897460938,664.686279296875,649.8922119140625,1858.0982666015625
2020-02-12,591.5111694335938,531.2760620117188,671.1306762695312,657.7433471679688,1873.069580078125
2020-02-13,587.9119262695312,523.2484741210938,680.7545166015625,659.4655151367188,1891.362060546875
2020-02-14,577.4693603515625,527.8909912109375,675.7708740234375,665.482421875,1884.674560546875
2020-02-17,576.4275512695312,523.8287353515625,678.3485717773438,661.2997436523438,1901.112548828125
2020-02-18,574.5804443359375,523.4419555664062,685.3947143554688,656.4459838867188,1911.8984375
2020-02-19,581.1869506835938,526.9237670898438,687.800537109375,672.7295532226562,1895.1590576171875
2020-02-20,576.4036865234375,529.0515747070312,684.8360595703125,664.7443237304688,1861.0321044921875
2020-02-24,573.017578125,512.4642944335938,683.8477783203125,646.40283203125,1825.266845703125
2020-02-25,568.4474487304688,513.5282592773438,686.0390625,633.6309814453125,1860.4710693359375
2020-02-26,567.9501953125,506.51617431640625,672.5914916992188,622.7155151367188,1832.38525390625
2020-02-27,568.044921875,498.4400634765625,668.3810424804688,620.143310546875,1816.7677001953125
2020-02-28,557.7207641601562,480.93402099609375,628.725830078125,594.375732421875,1725.8643798828125
2020-03-02,558.6441650390625,489.49359130859375,636.7600708007812,588.7837524414062,1726.856689453125
2020-03-03,559.68603515625,497.8597717285156,641.8727416992188,600.7281494140625,1756.9705810546875
2020-03-04,544.081298828125,491.6697692871094,651.9691162109375,599.3189697265625,1797.525146484375
2020-03-05,545.2653198242188,487.94610595703125,648.4031372070312,586.547119140625,1833.6361083984375
2020-03-06,537.4747924804688,470.3916931152344,634.9555053710938,568.5858154296875,1826.2159423828125
2020-03-09,524.40380859375,442.7301025390625,605.3108520507812,498.41845703125,1701.87646484375
2020-03-11,527.4821166992188,450.37091064453125,589.4574584960938,516.044189453125,1685.7840576171875
2020-03-12,483.6752014160156,411.6833801269531,542.3695678710938,475.5363464355469,1527.145751953125
2020-03-13,506.6442565917969,432.5262756347656,551.9503173828125,494.4593505859375,1558.597412109375
2020-03-16,473.3510437011719,389.67987060546875,501.0819091796875,454.37652587890625,1463.7681884765625
2020-03-17,461.79547119140625,355.19964599609375,476.85040283203125,450.93194580078125,1430.63427734375
2020-03-18,415.2891540527344,343.39996337890625,459.10650634765625,433.261474609375,1427.52783203125
2020-03-19,424.1215515136719,327.4413146972656,468.7732238769531,410.5359802246094,1422.2696533203125
2020-03-20,418.10699462890625,334.35675048828125,502.84320068359375,455.3830871582031,1562.2928466796875
2020-03-23,365.39666748046875,274.6812438964844,452.3612976074219,395.4825134277344,1451.2559814453125
2020-03-24,363.5733642578125,286.7711181640625,506.79583740234375,422.0329284667969,1480.3299560546875
2020-03-25,405.746337890625,306.5017395019531,520.8878173828125,484.14788818359375,1521.3115234375
2020-03-26,426.7499694824219,319.4136962890625,552.5089111328125,476.96783447265625,1556.643310546875
2020-03-27,428.33648681640625,328.6986999511719,560.8438110351562,476.699462890625,1585.8043212890625
2020-03-30,393.8592834472656,303.1165466308594,538.5028076171875,460.9749755859375,1545.822265625
2020-03-31,408.18536376953125,313.1269836425781,551.219970703125,498.23956298828125,1587.1947021484375
2020-04-01,392.91217041015625,300.9404296875,517.9664916992188,483.3426513671875,1485.1978759765625
2020-04-03,385.4294128417969,277.2442932128906,503.2728271484375,482.0006103515625,1437.7841796875
2020-04-07,424.38201904296875,315.3998718261719,549.0718383789062,539.5525512695312,1542.9542236328125
2020-04-08,420.97222900390625,308.4844970703125,542.7131958007812,533.3119506835938,1482.3291015625
2020-04-09,438.0923767089844,331.4552001953125,546.708740234375,545.7483520507812,1535.0880126953125
2020-04-13,424.02685546875,319.8005676269531,547.697021484375,531.969970703125,1529.0908203125
2020-04-15,408.8483581542969,316.6088562011719,549.1148681640625,514.388916015625,1508.143798828125
2020-04-16,416.63885498046875,330.77813720703125,536.0538940429688,522.5308227539062,1491.54248046875
2020-04-17,431.10699462890625,363.227294921875,540.2643432617188,547.5601196289062,1569.89794921875
2020-04-20,447.4694519042969,349.4448547363281,561.3593139648438,556.417724609375,1580.7193603515625
2020-04-21,436.4822082519531,320.961181640625,544.088134765625,553.5322875976562,1510.3165283203125
2020-04-22,439.77362060546875,324.9266662597656,551.5206909179688,610.0106811523438,1537.9998779296875
2020-04-23,452.2527160644531,341.3688659667969,583.7003784179688,613.2764282226562,1632.5223388671875
2020-04-24,444.24908447265625,323.8627624511719,565.39794921875,633.8994140625,1580.632568359375
2020-04-27,440.2945861816406,336.48455810546875,571.0690307617188,639.6030883789062,1596.3214111328125
2020-04-28,441.0997009277344,348.0425109863281,567.718017578125,638.8873291015625,1615.833740234375
2020-04-29,462.74267578125,358.294677734375,581.337158203125,638.3505249023438,1656.33740234375
2020-04-30,474.4402770996094,367.6763610839844,614.8057861328125,655.8196411132812,1750.903076171875
2020-05-04,437.1215515136719,326.9577331542969,578.8883666992188,642.0411987304688,1677.892822265625
2020-05-05,431.6516418457031,319.9940185546875,578.8883666992188,653.4263305664062,1679.8919677734375
2020-05-06,448.20355224609375,330.19781494140625,572.1861572265625,653.4710693359375,1654.5552978515625
2020-05-07,438.0687255859375,325.7004089355469,571.3696899414062,674.138671875,1644.169189453125
2020-05-08,439.9867248535156,326.6192932128906,579.3179931640625,698.6760864257812,1645.68994140625
2020-05-11,433.7117004394531,309.6451110839844,586.7936401367188,705.3863525390625,1682.1083984375
2020-05-12,426.9631042480469,310.6606750488281,590.8753051757812,661.7470703125,1694.4508056640625
2020-05-13,439.3236999511719,326.9577331542969,596.4603881835938,675.7871704101562,1694.5810546875
2020-05-14,423.24542236328125,316.6572265625,565.5269165039062,648.4656982421875,1653.46923828125
2020-05-15,420.6170654296875,312.1114501953125,560.5,659.0557250976562,1645.255615234375
2020-05-18,396.22723388671875,288.70550537109375,570.4675903320312,650.6334228515625,1691.0606689453125
2020-05-19,393.3857421875,290.4463806152344,574.5061645507812,636.2501831054688,1693.7117919921875
2020-05-20,405.912109375,295.6208801269531,575.3223266601562,647.4496459960938,1698.0142822265625
2020-05-21,407.0723876953125,294.4118957519531,577.5994262695312,650.8592529296875,1730.6953125
2020-05-22,397.2691345214844,281.49993896484375,594.91357421875,646.478759765625,1756.0311279296875
2020-05-26,403.686279296875,283.0958557128906,584.7743530273438,643.0918579101562,1688.80078125
2020-05-27,427.9576416015625,308.38775634765625,606.1701049804688,652.8010864257812,1742.95068359375
2020-05-28,447.6589050292969,316.1252746582031,607.8457641601562,664.8585815429688,1742.081298828125
2020-05-29,450.6898498535156,321.0579528808594,601.8360595703125,661.3136596679688,1714.31103515625
2020-06-01,467.739013671875,328.1183776855469,609.2827758789062,686.5802612304688,1777.6737060546875
2020-06-02,474.0614318847656,336.9681396484375,616.7295532226562,693.51220703125,1779.3250732421875
2020-06-03,484.1251525878906,345.1408996582031,611.0247802734375,696.19921875,1783.6839599609375
2020-06-04,474.3929138183594,336.43621826171875,616.4246215820312,713.4275512695312,1823.2601318359375
2020-06-05,489.3819274902344,345.47943115234375,612.7666625976562,714.2854614257812,1785.5145263671875
2020-06-08,481.11785888671875,347.9940490722656,627.8342895507812,708.776123046875,1805.9998779296875
2020-06-09,467.5732421875,337.1132507324219,625.0037231445312,694.1669921875,1806.2615966796875
2020-06-10,469.7280578613281,341.41717529296875,623.4795532226562,709.9728393554688,1838.2535400390625
2020-06-11,458.7171325683594,330.0527648925781,613.114990234375,694.4154052734375,1802.4256591796875
2020-06-12,465.41845703125,332.90594482421875,602.75048828125,717.4918212890625,1777.8868408203125
2020-06-15,449.8373718261719,320.2358093261719,598.8312377929688,729.120361328125,1769.51806640625
2020-06-16,469.0413818359375,331.6969909667969,610.7198486328125,730.54296875,1783.3785400390625
2020-06-17,463.7608642578125,330.72979736328125,612.853759765625,729.4817504882812,1785.1221923828125
2020-06-18,483.035888671875,340.4500427246094,621.7811279296875,747.7936401367188,1776.666259765625
2020-06-19,489.3819274902344,351.86285400390625,614.5086669921875,794.5337524414062,1782.3328857421875
2020-06-22,487.2034912109375,355.4897766113281,612.8972778320312,788.5501708984375,1767.8182373046875
2020-06-23,493.6205749511719,363.8075866699219,627.66015625,777.1473388671875,1774.2254638671875
