,RELIANCE,TCS,INFY,HDFCBANK,ICICIBANK
RELIANCE,1.0,0.6357860294546149,0.33624840397424094,0.437611481331732,0.30034165451621025
TCS,0.6357860294546149,1.0,0.34967961823798926,0.4160262171946135,0.3122252719402535
INFY,0.33624840397424094,0.34967961823798926,1.0,0.33962024060209933,0.7207817786512326
HDFCBANK,0.437611481331732,0.4160262171946135,0.33962024060209933,1.0,0.3677925938627533
ICICIBANK,0.30034165451621025,0.3122252719402535,0.7207817786512326,0.3677925938627533,1.0
